retailer_id,retailer_name,network
18179,Monbento UK,AW
38267,Monica Vinader,LS
21885,Morphy Richards,IR
43502,Moss Bros,LS
47971,Mous,LS
18946,MP.com,AW
23355,M&S DE,AWEU
25544,Mugler UK,AW
76048,Muji,AW
3604,Mybag.com,AW
48471,MyFlowers,AW
10700,Myprotein DE,AWEU
3196,Myprotein UK,AW
16855,MyVegan,AW
4454,myvitamins UK,AW
47704,NARS Cosmetics,LS
46471,Natura Siberica,AW
327,Nespresso,PZ
20013,Net Lighting,AW
29803,New Balance,IR
31243,Newbridge Silverware UK,AW
5325,New Era Cap,AW
16327,Nike UK,AW
8059,Ninja,AW
29899,Nio Cocktails UK,AW
18225,Nkuku,AW
7090990,Nobody's Child,CJ
102325,Nolan Interior,AW
18484,Not On The High Street,AW
5314779,Oakley,CJ
57413,Oasis UK & IE,AW
32931,Odiporo DE,AWEU
50687,Office,LS
50689,Offspring,LS
35352,Oliver Bonas Ltd,LS
19863,Optimum Nutrition UK,AW
2495,Ordnance Survey,AW
49438,Orelia,LS
1101l6389,& Other Stories,PZ
1011l6433,&OtherStories DE,PZ
12607,Pagazzi,AW
29905,PAKAMA Athletics DE/AT,AWEU
39528,Paul smith,LS
47883,Penhaligons,LS
18833,Percy and Reed,AW
40864,Pets at Home,LS
283055,Philip Kingsley,WG
45787,Phix Clothing,AW
4335,Prestige Flowers,AW
276265,Pretty Lavish,WG
19716,Pro Breeze,AW
19205,Professional Building Supplies,AW
6343,Public Desire,AW
6825,Public Desire (US & Canada),AW
5715804,Puma,CJ
50054,Purdey,LS
64690,Quiz Clothing,AW
6787281,Qure,CJ
7202610,QVC,CJ
309656,Rackhams,WG
46287,Rangers FC Store,AW
5314775,Ray-Ban,CJ
4979675,RDX Sports,CJ
75558,Rebecca Rhoades,AW
310278,Regatta,WG
1100l5856,Reiss,PZ
53914,Reversible,LS
52717,RevitaLash,LS
50303,Rock Luggage,LS
7800,Roman Originals,AW
36472,Rust-Oleum,AW
109964,Saint & Sofia,AW
53640,Samsung Business,LS
53591,Samsung UK,LS
1011l5834,Saucony,PZ
35878,Savannahs UK,LS
50143,Scamp & Dude,LS
22373,Scentsational,AW
2044,Schuh,AW
14872,Schulranzen DE,AWEU
49249,Sculpted by Aimee,AW
19215,Secret Sales,AW
1011l6629,Sephora,PZ
1101l6191,SEVENSTORE,PZ
8065,Shark,AW
3773223,SHEIN,CJ
19219,Shiseido,AW
1011l6178,Shoeaholics,PZ
23496,ShopLC DE,AWEU
2943,ShopTo.Net,AW
14589,sicher24.de DE,AWEU
3027,Simply Be,AW
46195,Skinnydip,LS
3940130,SmartBuyGlasses,CJ
62527,Smile Therapy,AW
23679,SMOKO E-Cigarettes,AW
3850,Snapfish.co.uk,AW
61885,Stolt,AW
6164,Stradivarius,AW
7636,Stradivarius DE,AWEU
1011l6022,Studio,PZ
19604,Style My Kid,AW
5314784,Sunglass Hut,CJ
50336,Superdrug,LS
